ticker,quantity,RUB_Close_price
AFLT,1542.0,52.39
YNDX,193.0,4071.2
BNB,1.240193,87728.26645684987
BTC,0.002592,8720448.765164137
SBER,0.0,289.37
NVTK,0.0,1033.8
GAZP,0.0,116.83
LKOH,0.0,6096.0
TATN,0.0,584.9
ALRS,0.0,41.24
POLY,0.0,270.0
ROSN,0.0,417.6
VTBR,0.0,67.98
SNGS,0.0,20.61
PHOR,0.0,6853.0
MVID,0.0,62.85
MGNT,0.0,3041.0
MOEX,0.0,158.78
CHMF,0.0,927.0
ETH,0.0,309289.86280082166
TON,0.0,0.8466469849635985
SOL,0.0,15404.528348756488
ADA,0.0,50.724731986123516
USDT,0.0,79.25336687304662
DOT,0.0,244.02299465042597
