Date,SBER.ME-VAR,VTBR.ME-VAR,TCSG.ME-VAR
2022-01-28,255.69615197398826,0.043295289327707494,5518.244940045391
2022-01-31,255.0166959638237,0.04378536242878921,5492.999123090607
2022-02-01,256.5031155518325,0.044437923396248545,5543.218301422729
2022-02-02,258.3598749012292,0.044875504515313885,5625.3248422253055
2022-02-03,257.69127654154687,0.0448353964146145,5635.3204679929095
2022-02-04,256.7571822324133,0.04472736081799446,5638.196860476948
2022-02-07,256.631923421175,0.044756529681694225,5660.494486119166
2022-02-08,256.66996230035534,0.04476943292206966,5675.611112123942
2022-02-09,256.50510753927716,0.044727590597880014,5680.09055176569
2022-02-10,256.34373387986363,0.044695562320415945,5686.313390019113
2022-02-11,256.1804821223736,0.04467131067226883,5693.295551043696
2022-02-14,256.0317332157292,0.04463771995347854,5699.508228051645
2022-02-15,255.89391575442517,0.04460004004909744,5706.077731605134
2022-02-16,255.7503337284702,0.044562570562742876,5712.798901276542
2022-02-17,255.59643861600995,0.04452469607636498,5719.000064735304
2022-02-18,255.45896762962408,0.044488337058397574,5725.432403575619
2022-02-21,255.32814059987834,0.044453032848877444,5732.0801168421
2022-02-22,255.1917664074081,0.04441702304500437,5738.564718422108
2022-02-24,255.05281466715314,0.044380774321234946,5744.991325775586
2022-02-25,254.91720441507437,0.04434506617205261,5751.5511784336295
2022-03-24,254.7817295135796,0.04430939440491724,5758.125051653893
2022-03-25,254.6455081861586,0.04427353470797444,5764.669300769074
2022-03-28,254.5094403135381,0.044237762808323706,5771.2306063756405
2022-03-29,254.37380583618446,0.04420211881914388,5777.8131670799485
2022-03-30,254.23811679551363,0.04416648133604425,5784.395065000464
2022-03-31,254.10253925460876,0.04413086092405588,5790.98468031908
2022-04-01,253.9670183884309,0.044095281379338276,5797.584549940224
2022-04-04,253.83152603079319,0.044059727629671364,5804.190766602873
2022-04-05,253.6961041009028,0.0440241991542238,5810.803965768451
2022-04-06,253.56079376750705,0.043988703435922184,5817.4261055245
2022-04-07,253.42553518429096,0.04395323532265271,5824.055349451569
2022-04-08,253.2903393759267,0.043917794008577336,5830.691644866749
2022-04-11,253.15522413179812,0.04388238279911976,5837.335808367616
2022-04-12,253.02018532145985,0.04384700081440898,5843.987706603847
2022-04-13,252.88521206365692,0.04381164633359907,5850.646956682585
2022-04-14,252.7503113585584,0.04377632028370686,5857.313812558754
2022-04-15,252.61548381297385,0.043741023088849584,5863.98833778354
2022-04-18,252.480727966102,0.0437057542567439,5870.670444502047
2022-04-19,252.34604351409826,0.04367051373265595,5877.360140791088
2022-04-20,252.21143139915245,0.04363530170446903,5884.057481300408
2022-04-21,252.076890891508,0.043600118080587544,5890.762449795613
2022-04-22,251.94242211880155,0.0435649627942959,5897.4750523957955
2022-04-25,251.80802515612507,0.043529835863682954,5904.195307802439
2022-04-26,251.67369991067363,0.0434947372633795,5910.923222934059
2022-04-27,251.53944622861428,0.043459666951863596,5917.658801268927
2022-04-28,251.40526420573335,0.043424624919946635,5924.402055807833
2022-04-29,251.27115377844356,0.043389611147663314,5931.152995380303
2022-05-04,251.13711487853953,0.043354625604816135,5937.911627110644
2022-05-05,251.00314747161465,0.043319668269753496,5944.677960034798
2022-05-06,250.86925154124165,0.0432847391230907,5951.452003775003
2022-05-11,250.73542703343796,0.04324983814016481,5958.233766558505
2022-05-12,250.6016739116739,0.04321496529755832,5965.023257122886
2022-05-13,250.46799214035448,0.04318012057354962,5971.820484467186
2022-05-16,250.33438168171307,0.043145303945472696,5978.625457393662
2022-05-17,250.20084249537692,0.04311051539025858,5985.438184626911
2022-05-18,250.06737454523198,0.04307575488546236,5992.258675070847
2022-05-19,249.93397779273772,0.043041022408532977,5999.086937572447
2022-05-20,249.80065219967562,0.04300631793676837,6005.922980965767
2022-05-23,249.6673977281515,0.042971641447599206,6012.766814121391
2022-05-24,249.53421434053553,0.04293699291850893,6019.618445928541
