Date,GAZP.ME-VAR,LKOH.ME-VAR,ROSN.ME-VAR
2022-01-28,324.7436138130456,6821.829621041145,565.2322216266869
2022-01-31,325.0921997497759,6829.723678181736,565.899325208863
2022-02-01,325.33610837624246,6836.119625903885,566.2926576551797
2022-02-02,325.57392183714893,6842.376908948713,566.6552133660593
2022-02-03,325.81166094666696,6848.622129988703,567.0145618014859
2022-02-04,326.04958742614923,6854.871106237095,567.3737627665943
2022-02-07,326.28769274421586,6861.125568619938,567.733150841534
2022-02-08,326.5259728162684,6867.385714312663,568.0927622498133
2022-02-09,326.7644270207788,6873.651569307945,568.4526009863198
2022-02-10,327.0030553783625,6879.923141051227,568.8126676025086
2022-02-11,327.24185800249364,6886.200434996077,569.1729622854601
2022-02-14,327.4808350187719,6892.48345638851,569.5334851840859
2022-02-15,327.7199865543577,6898.772210456908,569.8942364434015
2022-02-16,327.9593127366763,6905.066702432082,570.2552162081017
2022-02-17,328.19881369326555,6911.366937549366,570.61642462293
2022-02-18,328.4384895517587,6917.672921048852,570.9778618327176
2022-02-21,328.67834043988256,6923.984658175406,571.3395279823866
2022-02-22,328.91836648545706,6930.302154178683,571.7014232169511
2022-02-24,329.1585678163956,6936.625414313125,572.063547681517
2022-02-25,329.39894456070493,6942.954443837967,572.4259015212821
2022-03-24,329.6394968464853,6949.289248017247,572.7884848815362
2022-03-25,329.8802248019306,6955.629832119802,573.151297907661
2022-03-28,330.1211285553281,6961.976201419278,573.5143407451307
2022-03-29,330.362208235059,6968.328361194133,573.8776135395109
2022-03-30,330.60346396959807,6974.686316727641,574.2411164364602
2022-03-31,330.8448958875141,6981.050073307893,574.6048495817289
2022-04-01,331.0865041174696,6987.419636227812,574.9688131211599
2022-04-04,331.3282887882211,6993.795010785143,575.3330072006884
2022-04-05,331.5702500286191,7000.17620228247,575.6974319663419
2022-04-06,331.81238796760834,7006.563216027212,576.0620875642408
2022-04-07,332.0547027342276,7012.956057331632,576.4269741405975
2022-04-08,332.2971944576099,7019.35473151284,576.7920918417175
2022-04-11,332.5398632669827,7025.759243892797,577.1574408139987
2022-04-12,332.78270929166763,7032.169599798319,577.5230212039319
2022-04-13,333.02573266108084,7038.585804561083,577.8888331581005
2022-04-14,333.26893350473307,7045.0078635176305,578.2548768231809
2022-04-15,333.51231195222954,7051.435782009373,578.6211523459423
2022-04-18,333.75586813327016,7057.8695653825935,578.9876598732469
2022-04-19,333.99960217764954,7064.3092189884555,579.35439955205
2022-04-20,334.2435142152571,7070.754748183003,579.7213715294
2022-04-21,334.48760437607706,7077.206158327168,580.0885759524382
2022-04-22,334.7318727901887,7083.663454786773,580.4560129683994
2022-04-25,334.97631958776606,7090.126642932538,580.8236827246114
2022-04-26,335.22094489907846,7096.59572814008,581.1915853684956
2022-04-27,335.4657488544903,7103.070715789923,581.5597210475665
2022-04-28,335.7107315844611,7109.551611267502,581.9280899094323
2022-04-29,335.9558932195457,7116.038419963163,582.2966921017944
2022-05-04,336.20123389039435,7122.53114727217,582.6655277724481
2022-05-05,336.4467537277526,7129.029798594711,583.034597069282
2022-05-06,336.69245286246155,7135.534379335901,583.4039001402786
2022-05-11,336.9383314254578,7142.044894905786,583.7734371335139
2022-05-12,337.18438954777366,7148.561350719349,584.143208197158
2022-05-13,337.430627360537,7155.083752196514,584.5132134794746
2022-05-16,337.6770449949716,7161.612104762148,584.8834531288215
2022-05-17,337.9236425823969,7168.146413846071,585.2539272936503
2022-05-18,338.17042025422836,7174.686684883053,585.6246361225068
2022-05-19,338.4173781419774,7181.232923312827,585.9955797640307
2022-05-20,338.6645163772514,7187.785134580086,586.366758366956
2022-05-23,338.91183509175397,7194.343324134494,586.7381720801108
2022-05-24,339.1593344172848,7200.907497430683,587.1098210524175
